surface_area_m2,total_rooms,rooms,bathrooms,floor_level,prix,price_tnd,city,city_encoded,price_per_m2,rooms_per_surface
288.0,6.0,5,3,1,980000.0,980000.0,tunis,3,3402.777777777778,0.017361111111111112
172.0,4.0,2,1,1,750000.0,750000.0,tunis,3,4360.46511627907,0.011627906976744186
50.0,1.0,1,1,1,240000.0,240000.0,tunis,3,4800.0,0.02
150.0,4.0,3,2,1,695000.0,695000.0,tunis,3,4633.333333333333,0.02
195.0,5.0,4,2,4,395000.0,395000.0,tunis,3,2025.6410256410256,0.020512820512820513
300.0,3.0,2,1,1,550000.0,550000.0,tunis,3,1833.3333333333333,0.006666666666666667
120.0,2.0,2,1,1,370000.0,370000.0,tunis,3,3083.3333333333335,0.016666666666666666
116.0,3.0,2,1,1,280000.0,280000.0,tunis,3,2413.793103448276,0.017241379310344827
121.0,2.0,1,1,1,470000.0,470000.0,tunis,3,3884.2975206611573,0.008264462809917356
210.0,3.0,1,1,1,430000.0,430000.0,tunis,3,2047.6190476190477,0.004761904761904762
30.0,2.0,1,1,1,180000.0,180000.0,tunis,3,6000.0,0.03333333333333333
140.0,4.0,3,1,1,285000.0,285000.0,tunis,3,2035.7142857142858,0.02142857142857143
100.0,2.0,2,1,3,220000.0,220000.0,tunis,3,2200.0,0.02
170.0,3.0,3,1,1,780000.0,780000.0,tunis,3,4588.235294117647,0.01764705882352941
117.0,2.0,2,1,5,380000.0,380000.0,tunis,3,3247.863247863248,0.017094017094017096
194.0,4.0,3,2,1,860000.0,860000.0,tunis,3,4432.98969072165,0.015463917525773196
57.0,1.0,1,1,1,206000.0,206000.0,tunis,3,3614.035087719298,0.017543859649122806
61.0,2.0,2,1,1,370000.0,370000.0,tunis,3,6065.573770491803,0.03278688524590164
130.0,3.0,2,1,4,400000.0,400000.0,tunis,3,3076.923076923077,0.015384615384615385
67.0,2.0,1,1,1,280000.0,280000.0,tunis,3,4179.104477611941,0.014925373134328358
127.0,3.0,2,1,1,365000.0,365000.0,tunis,3,2874.015748031496,0.015748031496062992
85.0,2.0,1,1,3,415000.0,415000.0,tunis,3,4882.35294117647,0.011764705882352941
199.0,4.0,3,3,1,620000.0,620000.0,tunis,3,3115.577889447236,0.01507537688442211
45.0,1.0,1,1,3,245000.0,245000.0,tunis,3,5444.444444444444,0.022222222222222223
74.0,1.0,2,1,1,259500.0,259500.0,tunis,3,3506.7567567567567,0.02702702702702703
164.0,3.0,2,2,1,472000.0,472000.0,tunis,3,2878.048780487805,0.012195121951219513
66.0,2.0,1,1,1,238000.0,238000.0,tunis,3,3606.060606060606,0.015151515151515152
102.0,3.0,2,1,1,375000.0,375000.0,tunis,3,3676.470588235294,0.0196078431372549
137.0,3.0,2,2,1,434000.0,434000.0,tunis,3,3167.883211678832,0.014598540145985401
60.0,2.0,1,1,1,170000.0,170000.0,tunis,3,2833.3333333333335,0.016666666666666666
141.0,3.0,2,2,1,385000.0,385000.0,tunis,3,2730.496453900709,0.014184397163120567
178.0,4.0,3,3,3,680000.0,680000.0,tunis,3,3820.224719101124,0.016853932584269662
300.0,5.0,4,5,9,1490000.0,1490000.0,tunis,3,4966.666666666667,0.013333333333333334
300.0,9.0,9,2,4,990000.0,990000.0,tunis,3,3300.0,0.03
132.0,3.0,3,2,4,320000.0,320000.0,tunis,3,2424.242424242424,0.022727272727272728
236.0,5.0,4,3,1,1100000.0,1100000.0,tunis,3,4661.016949152542,0.01694915254237288
87.0,4.0,2,1,2,255000.0,255000.0,tunis,3,2931.0344827586205,0.022988505747126436
100.0,3.0,2,1,1,383000.0,383000.0,tunis,3,3830.0,0.02
54.0,2.0,1,1,5,180000.0,180000.0,tunis,3,3333.3333333333335,0.018518518518518517
140.0,3.0,2,1,1,450000.0,450000.0,tunis,3,3214.285714285714,0.014285714285714285
150.0,4.0,3,1,1,390000.0,390000.0,tunis,3,2600.0,0.02
180.0,4.0,3,3,1,970000.0,970000.0,tunis,3,5388.888888888889,0.016666666666666666
125.0,3.0,2,2,4,590000.0,590000.0,tunis,3,4720.0,0.016
140.0,3.0,2,3,1,620000.0,620000.0,tunis,3,4428.571428571428,0.014285714285714285
60.0,2.0,1,1,1,336000.0,336000.0,tunis,3,5600.0,0.016666666666666666
175.0,4.0,3,2,2,490000.0,490000.0,tunis,3,2800.0,0.017142857142857144
141.0,3.0,2,3,1,649000.0,649000.0,tunis,3,4602.836879432624,0.014184397163120567
150.0,4.0,3,2,2,390000.0,390000.0,tunis,3,2600.0,0.02
98.0,3.0,2,1,1,368000.0,368000.0,tunis,3,3755.1020408163267,0.02040816326530612
100.0,4.0,3,1,1,250000.0,250000.0,tunis,3,2500.0,0.03
66.0,2.0,1,1,1,236000.0,236000.0,tunis,3,3575.757575757576,0.015151515151515152
136.0,3.0,2,2,1,580000.0,580000.0,tunis,3,4264.705882352941,0.014705882352941176
300.0,3.0,2,2,1,560000.0,560000.0,tunis,3,1866.6666666666667,0.006666666666666667
64.0,2.0,1,1,1,232000.0,232000.0,tunis,3,3625.0,0.015625
66.0,2.0,1,1,1,231000.0,231000.0,tunis,3,3500.0,0.015151515151515152
160.0,4.0,3,3,1,550000.0,550000.0,tunis,3,3437.5,0.01875
50.0,2.0,1,1,1,370000.0,370000.0,tunis,3,7400.0,0.02
53.0,2.0,1,1,1,240000.0,240000.0,tunis,3,4528.301886792453,0.018867924528301886
124.0,3.0,2,2,1,420000.0,420000.0,tunis,3,3387.0967741935483,0.016129032258064516
162.0,4.0,3,2,1,825000.0,825000.0,tunis,3,5092.592592592592,0.018518518518518517
101.0,3.0,2,1,1,558000.0,558000.0,tunis,3,5524.752475247525,0.019801980198019802
103.0,3.0,2,1,1,572000.0,572000.0,tunis,3,5553.398058252427,0.019417475728155338
300.0,4.0,3,2,1,1560000.0,1560000.0,tunis,3,5200.0,0.01
182.0,4.0,3,3,1,970000.0,970000.0,tunis,3,5329.67032967033,0.016483516483516484
90.0,3.0,3,1,3,320000.0,320000.0,tunis,3,3555.5555555555557,0.03333333333333333
85.0,2.0,2,1,1,313000.0,313000.0,tunis,3,3682.3529411764707,0.023529411764705882
166.0,4.0,3,2,1,400000.0,400000.0,tunis,3,2409.6385542168673,0.018072289156626505
120.0,3.0,2,2,1,600000.0,600000.0,tunis,3,5000.0,0.016666666666666666
198.0,4.0,3,2,1,750000.0,750000.0,tunis,3,3787.878787878788,0.015151515151515152
89.0,3.0,2,1,1,338950.0,338950.0,tunis,3,3808.4269662921347,0.02247191011235955
118.0,3.0,2,2,1,547000.0,547000.0,tunis,3,4635.593220338983,0.01694915254237288
116.0,3.0,2,1,1,345000.0,345000.0,tunis,3,2974.137931034483,0.017241379310344827
70.0,1.0,1,1,1,260000.0,260000.0,tunis,3,3714.285714285714,0.014285714285714285
134.0,4.0,3,2,1,459000.0,459000.0,tunis,3,3425.373134328358,0.022388059701492536
175.0,4.0,3,3,1,975000.0,975000.0,tunis,3,5571.428571428572,0.017142857142857144
75.0,2.0,1,1,1,250000.0,250000.0,tunis,3,3333.3333333333335,0.013333333333333334
82.0,2.0,3,1,1,450000.0,450000.0,tunis,3,5487.804878048781,0.036585365853658534
110.0,3.0,2,1,1,480000.0,480000.0,tunis,3,4363.636363636364,0.01818181818181818
132.0,4.0,3,1,1,415000.0,415000.0,tunis,3,3143.939393939394,0.022727272727272728
179.0,4.0,3,3,1,550000.0,550000.0,tunis,3,3072.6256983240223,0.01675977653631285
55.0,2.0,1,1,1,385000.0,385000.0,tunis,3,7000.0,0.01818181818181818
85.0,3.0,2,1,1,135000.0,135000.0,tunis,3,1588.235294117647,0.023529411764705882
75.0,2.0,1,1,1,175000.0,175000.0,tunis,3,2333.3333333333335,0.013333333333333334
75.0,5.0,3,1,1,100000.0,100000.0,tunis,3,1333.3333333333333,0.04
93.0,3.0,2,1,1,380000.0,380000.0,tunis,3,4086.021505376344,0.021505376344086023
183.0,4.0,3,1,1,850000.0,850000.0,tunis,3,4644.808743169399,0.01639344262295082
100.0,4.0,2,1,2,415000.0,415000.0,tunis,3,4150.0,0.02
128.0,4.0,3,2,1,350000.0,350000.0,tunis,3,2734.375,0.0234375
107.0,3.0,2,1,2,230000.0,230000.0,tunis,3,2149.532710280374,0.018691588785046728
100.0,3.0,2,1,2,270000.0,270000.0,tunis,3,2700.0,0.02
110.0,4.0,4,2,3,220000.0,220000.0,tunis,3,2000.0,0.03636363636363636
153.0,4.0,3,1,5,390000.0,390000.0,tunis,3,2549.0196078431372,0.0196078431372549
170.0,4.0,3,2,1,1126000.0,1126000.0,tunis,3,6623.529411764706,0.01764705882352941
142.0,3.0,2,2,8,784000.0,784000.0,tunis,3,5521.12676056338,0.014084507042253521
166.0,3.0,2,2,1,632000.0,632000.0,tunis,3,3807.2289156626507,0.012048192771084338
178.0,4.0,3,1,1,500000.0,500000.0,tunis,3,2808.9887640449438,0.016853932584269662
154.0,4.0,4,1,1,300000.0,300000.0,tunis,3,1948.051948051948,0.025974025974025976
120.0,4.0,3,1,1,295000.0,295000.0,tunis,3,2458.3333333333335,0.025
180.0,4.0,3,2,1,660000.0,660000.0,tunis,3,3666.6666666666665,0.016666666666666666
200.0,4.0,3,2,1,520000.0,520000.0,tunis,3,2600.0,0.015
300.0,5.0,4,2,1,850000.0,850000.0,tunis,3,2833.3333333333335,0.013333333333333334
121.0,3.0,2,1,1,550000.0,550000.0,tunis,3,4545.454545454545,0.01652892561983471
124.0,3.0,2,2,3,590000.0,590000.0,tunis,3,4758.064516129032,0.016129032258064516
222.0,2.0,3,3,1,1500000.0,1500000.0,tunis,3,6756.756756756757,0.013513513513513514
159.0,4.0,3,3,5,507000.0,507000.0,tunis,3,3188.6792452830186,0.018867924528301886
74.0,2.0,1,1,4,259000.0,259000.0,tunis,3,3500.0,0.013513513513513514
182.0,4.0,3,3,2,600000.0,600000.0,tunis,3,3296.703296703297,0.016483516483516484
118.0,2.0,2,1,1,480000.0,480000.0,tunis,3,4067.7966101694915,0.01694915254237288
158.0,4.0,3,3,2,720000.0,720000.0,tunis,3,4556.962025316456,0.0189873417721519
70.0,1.0,1,1,1,226000.0,226000.0,tunis,3,3228.5714285714284,0.014285714285714285
128.0,4.0,4,1,1,360000.0,360000.0,tunis,3,2812.5,0.03125
150.0,3.0,2,1,1,930000.0,930000.0,tunis,3,6200.0,0.013333333333333334
154.0,4.0,3,2,1,370000.0,370000.0,tunis,3,2402.5974025974024,0.01948051948051948
289.0,4.0,3,3,1,1445000.0,1445000.0,tunis,3,5000.0,0.010380622837370242
67.0,2.0,1,1,1,280000.0,280000.0,tunis,3,4179.104477611941,0.014925373134328358
118.0,3.0,2,2,3,389000.0,389000.0,tunis,3,3296.6101694915255,0.01694915254237288
194.0,3.0,3,1,1,849000.0,849000.0,tunis,3,4376.288659793814,0.015463917525773196
109.0,1.0,2,2,1,371000.0,371000.0,tunis,3,3403.669724770642,0.01834862385321101
97.0,3.0,2,2,1,548000.0,548000.0,tunis,3,5649.484536082474,0.020618556701030927
300.0,5.0,4,3,1,1800000.0,1800000.0,tunis,3,6000.0,0.013333333333333334
118.0,3.0,2,2,1,376000.0,376000.0,tunis,3,3186.4406779661017,0.01694915254237288
125.0,4.0,3,2,1,416000.0,416000.0,tunis,3,3328.0,0.024
245.0,4.0,3,2,1,900000.0,900000.0,tunis,3,3673.469387755102,0.012244897959183673
220.0,6.0,4,4,1,720000.0,720000.0,tunis,3,3272.7272727272725,0.01818181818181818
153.0,5.0,3,2,1,520000.0,520000.0,tunis,3,3398.6928104575163,0.0196078431372549
188.0,5.0,3,2,5,690000.0,690000.0,tunis,3,3670.2127659574467,0.015957446808510637
140.0,4.0,3,1,1,205000.0,205000.0,tunis,3,1464.2857142857142,0.02142857142857143
94.0,3.0,2,1,3,270000.0,270000.0,tunis,3,2872.340425531915,0.02127659574468085
76.0,1.0,2,1,1,435000.0,435000.0,tunis,3,5723.684210526316,0.02631578947368421
157.0,4.0,3,2,1,700000.0,700000.0,tunis,3,4458.598726114649,0.01910828025477707
100.0,3.0,2,1,1,555000.0,555000.0,tunis,3,5550.0,0.02
100.0,3.0,2,1,1,270000.0,270000.0,tunis,3,2700.0,0.02
67.0,1.0,1,1,1,241000.0,241000.0,tunis,3,3597.0149253731342,0.014925373134328358
109.0,4.0,3,1,1,260000.0,260000.0,tunis,3,2385.321100917431,0.027522935779816515
147.0,4.0,3,2,5,370000.0,370000.0,tunis,3,2517.0068027210887,0.02040816326530612
103.0,4.0,3,1,1,300000.0,300000.0,tunis,3,2912.621359223301,0.02912621359223301
150.0,3.0,2,2,1,980000.0,980000.0,tunis,3,6533.333333333333,0.013333333333333334
111.0,2.0,1,1,1,720000.0,720000.0,tunis,3,6486.486486486487,0.009009009009009009
130.0,3.0,2,2,1,720000.0,720000.0,tunis,3,5538.461538461538,0.015384615384615385
194.0,4.0,3,3,1,865000.0,865000.0,tunis,3,4458.762886597938,0.015463917525773196
74.0,2.0,1,1,6,230000.0,230000.0,tunis,3,3108.108108108108,0.013513513513513514
232.0,4.0,3,2,1,1000000.0,1000000.0,tunis,3,4310.3448275862065,0.01293103448275862
300.0,4.0,3,1,1,1850000.0,1850000.0,tunis,3,6166.666666666667,0.01
181.0,4.0,3,3,1,795000.0,795000.0,tunis,3,4392.265193370165,0.016574585635359115
112.0,4.0,3,2,1,594000.0,594000.0,tunis,3,5303.571428571428,0.026785714285714284
109.0,2.0,2,1,1,250000.0,250000.0,tunis,3,2293.577981651376,0.01834862385321101
115.0,3.0,2,2,1,490000.0,490000.0,tunis,3,4260.869565217391,0.017391304347826087
116.0,3.0,2,1,3,420000.0,420000.0,tunis,3,3620.689655172414,0.017241379310344827
117.0,3.0,2,2,1,386000.0,386000.0,tunis,3,3299.1452991452993,0.017094017094017096
189.0,3.0,3,1,1,640000.0,640000.0,tunis,3,3386.2433862433863,0.015873015873015872
122.0,3.0,2,2,3,400000.0,400000.0,tunis,3,3278.688524590164,0.01639344262295082
162.0,3.0,2,1,1,825000.0,825000.0,tunis,3,5092.592592592592,0.012345679012345678
138.0,3.0,2,2,1,692500.0,692500.0,tunis,3,5018.115942028986,0.014492753623188406
149.0,3.0,2,1,1,972000.0,972000.0,tunis,3,6523.4899328859065,0.013422818791946308
138.0,3.0,2,1,1,531552.0,531552.0,tunis,3,3851.8260869565215,0.014492753623188406
112.0,2.0,2,1,1,398000.0,398000.0,tunis,3,3553.5714285714284,0.017857142857142856
137.0,2.0,2,1,1,300000.0,300000.0,tunis,3,2189.78102189781,0.014598540145985401
163.0,4.0,3,2,1,825000.0,825000.0,tunis,3,5061.349693251534,0.018404907975460124
93.0,1.0,2,1,1,270000.0,270000.0,tunis,3,2903.2258064516127,0.021505376344086023
100.0,4.0,3,1,2,260000.0,260000.0,tunis,3,2600.0,0.03
160.0,3.0,2,2,1,865000.0,865000.0,tunis,3,5406.25,0.0125
170.0,4.0,3,3,1,788000.0,788000.0,tunis,3,4635.294117647059,0.01764705882352941
153.0,4.0,3,2,1,530000.0,530000.0,tunis,3,3464.052287581699,0.0196078431372549
120.0,3.0,2,2,1,564000.0,564000.0,tunis,3,4700.0,0.016666666666666666
97.0,3.0,2,1,4,280000.0,280000.0,tunis,3,2886.59793814433,0.020618556701030927
230.0,5.0,3,2,1,790000.0,790000.0,tunis,3,3434.782608695652,0.013043478260869565
200.0,4.0,3,2,1,1600000.0,1600000.0,tunis,3,8000.0,0.015
102.0,2.0,2,1,1,750000.0,750000.0,tunis,3,7352.941176470588,0.0196078431372549
100.0,3.0,2,1,1,260000.0,260000.0,tunis,3,2600.0,0.02
120.0,2.0,1,1,1,680000.0,680000.0,tunis,3,5666.666666666667,0.008333333333333333
172.0,4.0,4,3,1,780000.0,780000.0,tunis,3,4534.883720930233,0.023255813953488372
99.0,3.0,2,2,1,437000.0,437000.0,tunis,3,4414.141414141414,0.020202020202020204
136.0,4.0,3,3,1,590000.0,590000.0,tunis,3,4338.235294117647,0.022058823529411766
126.0,3.0,2,2,1,668000.0,668000.0,tunis,3,5301.587301587301,0.015873015873015872
160.0,4.0,3,1,2,304000.0,304000.0,tunis,3,1900.0,0.01875
136.0,4.0,3,3,1,620000.0,620000.0,tunis,3,4558.823529411765,0.022058823529411766
167.0,4.0,3,3,2,635000.0,635000.0,tunis,3,3802.395209580838,0.017964071856287425
200.0,4.0,3,2,1,990000.0,990000.0,tunis,3,4950.0,0.015
70.0,2.0,1,1,1,410000.0,410000.0,tunis,3,5857.142857142857,0.014285714285714285
100.0,2.0,2,1,1,340000.0,340000.0,tunis,3,3400.0,0.02
41.0,2.0,2,1,1,110000.0,110000.0,tunis,3,2682.9268292682927,0.04878048780487805
75.0,2.0,2,1,1,570000.0,570000.0,tunis,3,7600.0,0.02666666666666667
155.0,4.0,3,2,3,550000.0,550000.0,tunis,3,3548.3870967741937,0.01935483870967742
68.0,2.0,2,1,2,400000.0,400000.0,tunis,3,5882.35294117647,0.029411764705882353
115.0,3.0,2,2,1,415000.0,415000.0,tunis,3,3608.695652173913,0.017391304347826087
180.0,4.0,3,2,1,470000.0,470000.0,tunis,3,2611.1111111111113,0.016666666666666666
206.0,3.0,2,2,1,390000.0,390000.0,tunis,3,1893.2038834951456,0.009708737864077669
43.0,1.0,1,1,1,245000.0,245000.0,tunis,3,5697.674418604651,0.023255813953488372
109.0,3.0,2,1,6,250000.0,250000.0,tunis,3,2293.577981651376,0.01834862385321101
180.0,4.0,3,3,3,820000.0,820000.0,tunis,3,4555.555555555556,0.016666666666666666
73.0,2.0,1,1,3,175000.0,175000.0,tunis,3,2397.2602739726026,0.0136986301369863
97.0,3.0,2,1,6,210000.0,210000.0,tunis,3,2164.9484536082473,0.020618556701030927
185.0,4.0,3,3,1,1320000.0,1320000.0,tunis,3,7135.135135135135,0.016216216216216217
83.0,3.0,2,1,3,450000.0,450000.0,tunis,3,5421.686746987952,0.024096385542168676
300.0,5.0,4,3,4,3000000.0,3000000.0,tunis,3,10000.0,0.013333333333333334
30.0,3.0,2,1,10,680000.0,680000.0,tunis,3,22666.666666666668,0.06666666666666667
300.0,18.0,12,6,1,900000.0,900000.0,tunis,3,3000.0,0.04
30.0,3.0,2,1,1,1850000.0,1850000.0,tunis,3,61666.666666666664,0.06666666666666667
142.0,4.0,3,2,3,370000.0,370000.0,tunis,3,2605.6338028169016,0.02112676056338028
167.0,4.0,3,3,1,635000.0,635000.0,tunis,3,3802.395209580838,0.017964071856287425
194.0,5.0,4,4,3,1150000.0,1150000.0,tunis,3,5927.835051546392,0.020618556701030927
92.0,3.0,2,1,1,506000.0,506000.0,tunis,3,5500.0,0.021739130434782608
137.0,3.0,2,2,1,724000.0,724000.0,tunis,3,5284.671532846715,0.014598540145985401
74.0,2.0,1,1,1,380000.0,380000.0,tunis,3,5135.135135135135,0.013513513513513514
114.0,3.0,3,1,2,230000.0,230000.0,tunis,3,2017.5438596491229,0.02631578947368421
220.0,3.0,4,1,1,650000.0,650000.0,tunis,3,2954.5454545454545,0.01818181818181818
172.0,4.0,3,2,1,855000.0,855000.0,tunis,3,4970.930232558139,0.01744186046511628
208.0,4.0,3,2,1,850000.0,850000.0,tunis,3,4086.5384615384614,0.014423076923076924
238.0,4.0,3,2,1,1000000.0,1000000.0,tunis,3,4201.680672268908,0.012605042016806723
149.0,2.0,2,1,1,410000.0,410000.0,tunis,3,2751.6778523489934,0.013422818791946308
84.0,2.0,2,1,1,750000.0,750000.0,tunis,3,8928.57142857143,0.023809523809523808
300.0,4.0,4,3,1,950000.0,950000.0,tunis,3,3166.6666666666665,0.013333333333333334
85.0,2.0,1,1,1,400000.0,400000.0,tunis,3,4705.882352941177,0.011764705882352941
67.0,1.0,2,1,1,276000.0,276000.0,tunis,3,4119.4029850746265,0.029850746268656716
145.0,1.0,4,2,1,450000.0,450000.0,tunis,3,3103.448275862069,0.027586206896551724
120.0,4.0,3,2,4,290000.0,290000.0,tunis,3,2416.6666666666665,0.025
75.0,3.0,2,1,1,370000.0,370000.0,tunis,3,4933.333333333333,0.02666666666666667
137.0,4.0,3,2,1,410000.0,410000.0,tunis,3,2992.700729927007,0.021897810218978103
146.0,1.0,2,2,1,575000.0,575000.0,tunis,3,3938.3561643835615,0.0136986301369863
220.0,4.0,3,2,1,1000000.0,1000000.0,tunis,3,4545.454545454545,0.013636363636363636
65.0,1.0,1,1,4,227500.0,227500.0,tunis,3,3500.0,0.015384615384615385
120.0,4.0,4,1,1,450000.0,450000.0,tunis,3,3750.0,0.03333333333333333
100.0,3.0,3,1,1,220000.0,220000.0,tunis,3,2200.0,0.03
202.0,5.0,4,3,7,620000.0,620000.0,tunis,3,3069.3069306930693,0.019801980198019802
150.0,3.0,2,2,1,950000.0,950000.0,tunis,3,6333.333333333333,0.013333333333333334
273.0,5.0,4,5,1,1801110.0,1801110.0,tunis,3,6597.472527472528,0.014652014652014652
147.0,3.0,2,2,1,650000.0,650000.0,tunis,3,4421.768707482993,0.013605442176870748
190.0,4.0,3,3,3,1263000.0,1263000.0,tunis,3,6647.368421052632,0.015789473684210527
30.0,1.0,1,1,1,300000.0,300000.0,tunis,3,10000.0,0.03333333333333333
127.0,3.0,2,2,1,370000.0,370000.0,tunis,3,2913.3858267716537,0.015748031496062992
152.0,4.0,3,3,1,820000.0,820000.0,tunis,3,5394.736842105263,0.019736842105263157
69.0,2.0,1,1,1,112470.0,112470.0,tunis,3,1630.0,0.014492753623188406
155.0,2.0,2,1,1,580000.0,580000.0,tunis,3,3741.935483870968,0.012903225806451613
30.0,4.0,2,1,1,950000.0,950000.0,tunis,3,31666.666666666668,0.06666666666666667
64.0,2.0,1,1,4,240000.0,240000.0,tunis,3,3750.0,0.015625
156.0,4.0,3,2,6,375000.0,375000.0,tunis,3,2403.846153846154,0.019230769230769232
87.0,2.0,1,1,1,330000.0,330000.0,tunis,3,3793.103448275862,0.011494252873563218
30.0,1.0,1,1,4,125000.0,125000.0,tunis,3,4166.666666666667,0.03333333333333333
87.0,3.0,2,1,1,120000.0,120000.0,tunis,3,1379.3103448275863,0.022988505747126436
150.0,3.0,2,3,3,928000.0,928000.0,tunis,3,6186.666666666667,0.013333333333333334
74.0,2.0,1,1,1,350000.0,350000.0,tunis,3,4729.72972972973,0.013513513513513514
150.0,4.0,3,2,1,408000.0,408000.0,tunis,3,2720.0,0.02
187.0,5.0,4,2,1,970000.0,970000.0,tunis,3,5187.165775401069,0.0213903743315508
146.0,4.0,3,1,2,318000.0,318000.0,tunis,3,2178.082191780822,0.02054794520547945
131.0,3.0,2,2,1,486000.0,486000.0,tunis,3,3709.9236641221373,0.015267175572519083
115.0,2.0,1,1,1,900000.0,900000.0,tunis,3,7826.086956521739,0.008695652173913044
158.0,5.0,4,2,1,645000.0,645000.0,tunis,3,4082.278481012658,0.02531645569620253
198.0,3.0,2,2,2,710000.0,710000.0,tunis,3,3585.8585858585857,0.010101010101010102
120.0,4.0,3,2,1,265000.0,265000.0,tunis,3,2208.3333333333335,0.025
156.0,2.0,3,2,2,220000.0,220000.0,tunis,3,1410.2564102564102,0.019230769230769232
127.0,3.0,2,2,1,400000.0,400000.0,tunis,3,3149.6062992125985,0.015748031496062992
180.0,4.0,3,3,1,850000.0,850000.0,tunis,3,4722.222222222223,0.016666666666666666
85.0,2.0,1,1,1,290000.0,290000.0,tunis,3,3411.764705882353,0.011764705882352941
121.0,4.0,3,1,1,195860.0,195860.0,tunis,3,1618.6776859504132,0.024793388429752067
264.0,2.0,2,1,1,570000.0,570000.0,tunis,3,2159.090909090909,0.007575757575757576
288.0,6.0,5,3,1,980000.0,980000.0,tunis,3,3402.777777777778,0.017361111111111112
80.0,3.0,2,1,1,325000.0,325000.0,tunis,3,4062.5,0.025
51.0,2.0,1,1,1,309000.0,309000.0,tunis,3,6058.823529411765,0.0196078431372549
247.0,6.0,4,3,1,820000.0,820000.0,tunis,3,3319.838056680162,0.016194331983805668
134.0,4.0,3,2,1,450000.0,450000.0,tunis,3,3358.208955223881,0.022388059701492536
291.0,4.0,3,3,1,970000.0,970000.0,tunis,3,3333.3333333333335,0.010309278350515464
70.0,2.0,1,1,1,440000.0,440000.0,tunis,3,6285.714285714285,0.014285714285714285
148.0,4.0,3,2,1,370000.0,370000.0,tunis,3,2500.0,0.02027027027027027
161.0,4.0,3,3,4,514000.0,514000.0,tunis,3,3192.5465838509317,0.018633540372670808
51.0,2.0,2,1,2,295896.0,295896.0,tunis,3,5801.882352941177,0.0392156862745098
81.0,3.0,2,1,1,270000.0,270000.0,tunis,3,3333.3333333333335,0.024691358024691357
137.0,3.0,2,2,8,500000.0,500000.0,tunis,3,3649.6350364963505,0.014598540145985401
158.0,2.0,3,1,1,580000.0,580000.0,tunis,3,3670.8860759493673,0.0189873417721519
166.0,4.0,3,2,1,748000.0,748000.0,tunis,3,4506.024096385542,0.018072289156626505
160.0,4.0,3,2,3,500000.0,500000.0,tunis,3,3125.0,0.01875
126.0,3.0,2,2,1,592600.0,592600.0,tunis,3,4703.174603174603,0.015873015873015872
119.0,4.0,3,2,1,393000.0,393000.0,tunis,3,3302.5210084033615,0.025210084033613446
