city,neighborhood,address,building_type,surface_area_m2,rooms,bedrooms,bathrooms,floor_level,has_elevator,year_built,age,has_parking,has_terrace,has_garden,has_pool,price_tnd
Nabeul,Périphérie,"Périphérie, Nabeul",Dar (Maison Traditionnelle),141.90112987108375,5,3,1,3,False,1978,48,True,False,True,False,320000
Nabeul,Centre Ville,"Centre Ville, Nabeul",Penthouse,77.12255571694496,4,3,1,1,False,1960,66,True,True,False,True,379000
Gammarth,Agricole,"Agricole, Gammarth",Appartement,161.58542884879236,3,1,1,4,True,2023,3,False,True,False,False,641000
Sfax,Luxueux,"Luxueux, Sfax",Riad,53.65841169320515,6,4,2,4,True,2016,10,True,True,False,False,618000
Sousse,Touristique,"Touristique, Sousse",Duplex,213.60028402361522,3,1,1,1,False,1982,44,True,False,False,True,901000
Sidi Bou Said,Agricole,"Agricole, Sidi Bou Said",Villa,197.1533825929542,5,3,1,1,False,1978,48,True,True,False,False,976000
Tozeur,Touristique,"Touristique, Tozeur",Riad,124.20817605039605,4,3,1,3,True,1983,43,True,True,False,False,471000
Gammarth,Résidentiel,"Résidentiel, Gammarth",Riad,199.3008408072676,1,1,1,2,False,1971,55,True,False,True,False,1363000
Djerba,Côtière,"Côtière, Djerba",Penthouse,173.03192894107053,2,1,1,0,False,1994,32,True,False,True,False,873000
Nabeul,Périphérie,"Périphérie, Nabeul",Maison,62.22420449552578,5,3,2,3,True,1966,60,True,True,True,False,232000
Gammarth,Touristique,"Touristique, Gammarth",Appartement,186.32358341595238,4,2,1,2,False,1983,43,False,False,False,False,955000
Sfax,Agricole,"Agricole, Sfax",Penthouse,118.9549203017926,3,2,1,5,False,1983,43,True,False,True,False,250000
La Marsa,Périphérie,"Périphérie, La Marsa",Appartement,138.15348016686545,5,4,2,3,False,2021,5,False,True,False,True,524000
La Marsa,Touristique,"Touristique, La Marsa",Penthouse,93.84059532064451,4,2,1,4,False,1971,55,True,True,False,False,775000
Sidi Bou Said,Touristique,"Touristique, Sidi Bou Said",Riad,113.49284728161577,3,2,1,0,False,1971,55,True,False,False,False,1109000
La Marsa,Agricole,"Agricole, La Marsa",Villa,47.967363059659164,3,2,1,1,False,1968,58,False,True,True,False,328000
Mahdia,Populaire,"Populaire, Mahdia",Riad,124.13652179002395,3,2,1,1,False,1986,40,False,False,True,False,263000
Gammarth,Côtière,"Côtière, Gammarth",Villa,122.21752787495336,1,1,1,5,False,2024,2,False,False,False,False,874000
Sidi Bou Said,Périphérie,"Périphérie, Sidi Bou Said",Duplex,109.32764241440763,3,2,1,5,True,1998,28,False,False,True,True,753000
Gammarth,Côtière,"Côtière, Gammarth",Maison,104.8837878961846,3,1,1,0,False,2020,6,True,True,True,False,1086000
Gabes,Luxueux,"Luxueux, Gabes",Appartement,176.66710125345367,2,1,1,5,False,1992,34,True,False,False,False,275000
Tozeur,Centre Ville,"Centre Ville, Tozeur",Duplex,187.94083166663643,3,2,1,4,True,2006,20,False,True,True,False,441000
Tozeur,Côtière,"Côtière, Tozeur",Riad,134.25876623248269,2,1,1,0,False,1974,52,True,False,True,False,361000
Djerba,Populaire,"Populaire, Djerba",Studio,180.02057742066992,6,4,2,4,False,1987,39,True,False,False,False,293000
Gammarth,Périphérie,"Périphérie, Gammarth",Duplex,90.03036772779889,1,1,1,3,False,2000,26,True,False,False,False,511000
Nabeul,Agricole,"Agricole, Nabeul",Villa,24.364674146789042,4,3,2,4,False,1988,38,False,True,True,False,144000
La Marsa,Côtière,"Côtière, La Marsa",Riad,211.57293829271768,5,3,1,2,False,2018,8,True,True,False,False,1782000
Tunis,Côtière,"Côtière, Tunis",Appartement,85.2927023246253,3,2,1,5,True,1964,62,False,False,True,False,424000
Hammamet,Populaire,"Populaire, Hammamet",Dar (Maison Traditionnelle),160.37778158027146,4,3,1,2,False,1960,66,False,False,False,False,389000
Monastir,Agricole,"Agricole, Monastir",Villa,76.39481172982204,2,1,1,3,False,1993,33,False,False,True,False,165000
Djerba,Centre Ville,"Centre Ville, Djerba",Maison,106.58684690252437,2,1,1,4,False,1982,44,True,True,False,False,676000
Sidi Bou Said,Périphérie,"Périphérie, Sidi Bou Said",Riad,194.45225869422393,4,2,1,1,False,1997,29,False,True,False,False,781000
Hammamet,Agricole,"Agricole, Hammamet",Studio,192.21693959909055,4,2,1,1,False,1989,37,True,False,False,False,226000
Gammarth,Centre Ville,"Centre Ville, Gammarth",Penthouse,34.83087803224227,3,2,1,1,False,2012,14,False,False,True,False,693000
Monastir,Centre Ville,"Centre Ville, Monastir",Villa,47.94021197520007,3,1,1,0,False,2015,11,True,True,True,True,602000
Monastir,Populaire,"Populaire, Monastir",Dar (Maison Traditionnelle),116.86604513634141,4,2,1,2,False,2010,16,True,False,True,False,348000
La Marsa,Résidentiel,"Résidentiel, La Marsa",Villa,172.26563965038054,3,1,1,1,False,1971,55,False,False,True,False,1121000
Nabeul,Populaire,"Populaire, Nabeul",Maison,59.075517935670725,1,1,1,5,True,2015,11,True,False,False,False,165000
Mahdia,Centre Ville,"Centre Ville, Mahdia",Penthouse,67.02104268916756,3,1,1,5,True,2015,11,True,False,True,False,408000
Kairouan,Agricole,"Agricole, Kairouan",Dar (Maison Traditionnelle),158.43637460736645,2,1,1,5,False,1985,41,False,True,False,False,187000
Sfax,Agricole,"Agricole, Sfax",Villa,143.55184157090105,2,1,1,1,False,1987,39,False,False,False,False,264000
La Marsa,Périphérie,"Périphérie, La Marsa",Penthouse,179.47998906423743,3,2,1,0,False,1984,42,False,False,False,False,623000
Djerba,Côtière,"Côtière, Djerba",Riad,20.0,5,3,2,0,False,1993,33,True,True,False,True,622000
Hammamet,Populaire,"Populaire, Hammamet",Penthouse,20.0,5,4,2,1,False,2023,3,True,False,False,False,341000
Gammarth,Populaire,"Populaire, Gammarth",Maison,38.10029821433055,4,2,1,5,False,2021,5,False,False,False,False,270000
Monastir,Côtière,"Côtière, Monastir",Dar (Maison Traditionnelle),159.87421022391572,3,2,1,0,False,2021,5,False,False,True,False,635000
Gammarth,Populaire,"Populaire, Gammarth",Studio,209.15564176875284,5,3,1,0,False,1979,47,True,True,False,False,486000
Sidi Bou Said,Touristique,"Touristique, Sidi Bou Said",Dar (Maison Traditionnelle),212.34901657238015,3,1,1,3,False,1970,56,False,False,False,False,992000
Nabeul,Touristique,"Touristique, Nabeul",Maison,35.75639305161303,2,1,1,4,False,1961,65,False,True,True,False,251000
La Marsa,Périphérie,"Périphérie, La Marsa",Studio,90.8709542182533,3,1,1,2,False,1997,29,True,True,True,False,323000
Sfax,Centre Ville,"Centre Ville, Sfax",Villa,109.84773069785037,4,2,1,3,True,1981,45,False,True,False,False,486000
Nabeul,Luxueux,"Luxueux, Nabeul",Dar (Maison Traditionnelle),114.00745403172006,3,1,1,2,False,1989,37,True,True,False,False,422000
Sfax,Luxueux,"Luxueux, Sfax",Appartement,98.95077595898685,3,3,2,5,True,1977,49,False,False,False,False,316000
Nabeul,Résidentiel,"Résidentiel, Nabeul",Appartement,132.50952461238217,4,1,1,0,False,1984,42,False,True,True,False,302000
Sousse,Agricole,"Agricole, Sousse",Duplex,161.15524878725034,4,3,1,2,False,1965,61,True,False,True,True,472000
Gammarth,Agricole,"Agricole, Gammarth",Studio,46.07068771100792,5,4,2,0,False,1988,38,False,False,False,False,197000
Mahdia,Périphérie,"Périphérie, Mahdia",Maison,124.10274355763988,2,1,1,0,False,2014,12,True,True,True,False,285000
Sousse,Côtière,"Côtière, Sousse",Dar (Maison Traditionnelle),123.57831186096962,2,1,1,4,True,1997,29,True,True,True,False,623000
Nabeul,Côtière,"Côtière, Nabeul",Maison,71.06181421088463,2,1,1,2,False,1961,65,True,True,False,False,224000
Sidi Bou Said,Populaire,"Populaire, Sidi Bou Said",Villa,189.29516606455496,5,3,1,2,False,1979,47,True,False,True,False,897000
Tozeur,Périphérie,"Périphérie, Tozeur",Studio,136.32116825353572,2,1,1,5,False,1972,54,True,True,True,False,107000
Gabes,Côtière,"Côtière, Gabes",Maison,106.55829116024123,2,1,1,4,True,1964,62,False,False,False,False,182000
Mahdia,Centre Ville,"Centre Ville, Mahdia",Maison,143.57341785679978,6,5,3,0,False,1999,27,True,False,False,False,396000
Monastir,Luxueux,"Luxueux, Monastir",Dar (Maison Traditionnelle),115.48861679718951,4,4,2,0,False,1980,46,True,False,True,False,532000
Kairouan,Côtière,"Côtière, Kairouan",Maison,153.03876158610703,4,3,1,1,False,1997,29,False,False,True,False,337000
Gabes,Luxueux,"Luxueux, Gabes",Penthouse,42.21250120641858,1,1,1,3,False,2018,8,False,False,False,False,171000
Bizerte,Touristique,"Touristique, Bizerte",Studio,135.6487075908426,1,1,1,3,False,1985,41,False,False,True,False,215000
Hammamet,Populaire,"Populaire, Hammamet",Penthouse,123.92044612530385,1,1,1,5,True,1979,47,False,True,False,False,458000
Mahdia,Luxueux,"Luxueux, Mahdia",Studio,176.48247424861853,2,1,1,2,False,2010,16,False,False,True,False,251000
Gabes,Luxueux,"Luxueux, Gabes",Studio,91.64184160323025,5,5,2,2,False,1989,37,False,True,True,True,228000
Kairouan,Côtière,"Côtière, Kairouan",Maison,20.0,1,1,1,4,True,1960,66,False,True,True,True,176000
Sidi Bou Said,Côtière,"Côtière, Sidi Bou Said",Dar (Maison Traditionnelle),125.48663195938964,3,2,1,3,True,1993,33,False,False,False,False,846000
Monastir,Luxueux,"Luxueux, Monastir",Maison,20.0,2,1,1,2,False,2026,0,False,True,False,False,275000
Nabeul,Périphérie,"Périphérie, Nabeul",Dar (Maison Traditionnelle),58.89360955540273,4,2,1,5,False,1991,35,False,False,True,False,199000
Djerba,Agricole,"Agricole, Djerba",Dar (Maison Traditionnelle),177.9664901682124,1,1,1,1,False,1966,60,True,False,False,False,359000
Tozeur,Populaire,"Populaire, Tozeur",Riad,36.51104139658,6,4,2,2,False,1961,65,False,True,True,False,139000
Tunis,Luxueux,"Luxueux, Tunis",Dar (Maison Traditionnelle),150.30049756728198,1,1,1,2,False,2003,23,False,False,False,False,737000
Tunis,Résidentiel,"Résidentiel, Tunis",Dar (Maison Traditionnelle),168.59113450863677,3,1,1,0,False,1973,53,True,False,True,False,802000
Tunis,Périphérie,"Périphérie, Tunis",Penthouse,153.6128642206886,2,1,1,2,False,1996,30,True,False,True,False,624000
Mahdia,Touristique,"Touristique, Mahdia",Dar (Maison Traditionnelle),126.03236129973976,5,3,2,0,False,1993,33,False,True,False,False,378000
Djerba,Agricole,"Agricole, Djerba",Maison,20.0,2,1,1,5,True,1990,36,True,True,False,True,223000
Gammarth,Touristique,"Touristique, Gammarth",Appartement,74.67106634904796,4,2,1,4,True,1969,57,False,True,False,True,667000
Nabeul,Agricole,"Agricole, Nabeul",Villa,177.15329514449593,2,1,1,2,False,2024,2,False,False,False,False,303000
Sousse,Populaire,"Populaire, Sousse",Dar (Maison Traditionnelle),127.36039146848013,3,2,1,2,False,2018,8,True,True,False,False,364000
Tozeur,Côtière,"Côtière, Tozeur",Studio,147.75726443555607,1,1,1,2,False,2021,5,True,True,False,False,184000
Sidi Bou Said,Luxueux,"Luxueux, Sidi Bou Said",Maison,35.5221386960865,4,2,1,0,False,1999,27,True,False,False,False,648000
Gabes,Périphérie,"Périphérie, Gabes",Duplex,84.78604347050535,2,2,1,4,False,2008,18,False,False,False,False,136000
Bizerte,Périphérie,"Périphérie, Bizerte",Studio,153.18686069440105,5,3,1,4,False,1967,59,True,True,False,False,176000
Tunis,Centre Ville,"Centre Ville, Tunis",Dar (Maison Traditionnelle),166.51266729767707,3,2,1,1,False,2018,8,False,False,True,False,809000
Djerba,Populaire,"Populaire, Djerba",Studio,127.24687073905903,2,1,1,1,False,1976,50,False,True,False,False,223000
Sidi Bou Said,Côtière,"Côtière, Sidi Bou Said",Appartement,126.69238271229999,4,2,1,2,False,1998,28,True,True,True,False,803000
Mahdia,Agricole,"Agricole, Mahdia",Villa,166.9141902987999,2,1,1,4,False,2019,7,True,True,False,False,327000
Monastir,Côtière,"Côtière, Monastir",Studio,96.06256891682614,5,3,1,4,True,1963,63,False,False,True,False,259000
La Marsa,Populaire,"Populaire, La Marsa",Riad,181.5080656728573,4,1,1,2,False,2025,1,False,True,False,True,992000
Djerba,Résidentiel,"Résidentiel, Djerba",Dar (Maison Traditionnelle),173.27401875326757,2,1,1,3,False,2015,11,True,False,True,False,778000
Hammamet,Côtière,"Côtière, Hammamet",Appartement,35.90898374333854,1,1,1,4,False,1962,64,False,False,True,False,233000
Mahdia,Côtière,"Côtière, Mahdia",Studio,74.06740267579009,1,1,1,0,False,2008,18,False,True,True,False,165000
Sidi Bou Said,Côtière,"Côtière, Sidi Bou Said",Maison,66.47109601614163,4,2,1,5,False,2015,11,True,True,True,False,828000
Sfax,Agricole,"Agricole, Sfax",Villa,130.38063441140324,3,1,1,1,False,2016,10,True,True,False,False,359000
Tozeur,Périphérie,"Périphérie, Tozeur",Appartement,143.42817466857613,4,2,1,2,False,1968,58,False,True,False,False,168000
La Marsa,Populaire,"Populaire, La Marsa",Penthouse,242.69210870728546,3,1,1,2,False,1962,64,False,True,False,False,683000
Sfax,Résidentiel,"Résidentiel, Sfax",Dar (Maison Traditionnelle),84.73946318351094,2,2,1,4,False,1973,53,False,True,False,False,238000
Sfax,Populaire,"Populaire, Sfax",Villa,100.61492200320079,3,2,1,1,False,2018,8,True,True,True,False,468000
Gammarth,Touristique,"Touristique, Gammarth",Villa,32.57265075212368,1,1,1,5,True,1977,49,True,True,True,True,895000
Gammarth,Luxueux,"Luxueux, Gammarth",Maison,121.79472748838499,6,5,3,5,True,1992,34,False,True,True,False,1278000
Sidi Bou Said,Populaire,"Populaire, Sidi Bou Said",Penthouse,175.08283569981836,3,1,1,0,False,2007,19,True,True,True,False,766000
Tunis,Agricole,"Agricole, Tunis",Maison,82.87428245715296,2,1,1,1,False,2001,25,True,False,True,False,294000
La Marsa,Résidentiel,"Résidentiel, La Marsa",Dar (Maison Traditionnelle),92.90504378057261,4,3,1,1,False,1971,55,True,False,False,False,558000
Kairouan,Centre Ville,"Centre Ville, Kairouan",Appartement,45.530347017534694,3,2,1,5,True,1994,32,True,False,False,False,148000
Gabes,Côtière,"Côtière, Gabes",Maison,179.3193706107644,3,1,1,4,False,1996,30,False,True,False,False,283000
Tozeur,Périphérie,"Périphérie, Tozeur",Penthouse,144.58965276998063,4,2,1,1,False,1981,45,True,False,True,False,332000
Bizerte,Résidentiel,"Résidentiel, Bizerte",Duplex,221.02009818410562,2,1,1,2,False,1988,38,False,False,False,False,376000
Bizerte,Côtière,"Côtière, Bizerte",Riad,176.33765959631015,2,1,1,0,False,1972,54,False,True,False,False,466000
Bizerte,Touristique,"Touristique, Bizerte",Villa,142.00072250266663,2,1,1,5,True,1961,65,False,False,False,False,381000
Sidi Bou Said,Résidentiel,"Résidentiel, Sidi Bou Said",Penthouse,102.26879085332529,1,1,1,4,False,1993,33,True,True,True,False,685000
Gammarth,Agricole,"Agricole, Gammarth",Appartement,137.6881389495934,3,2,1,3,True,1986,40,True,False,True,False,523000
Nabeul,Côtière,"Côtière, Nabeul",Duplex,108.49717822018087,4,3,1,4,False,1962,64,False,True,True,False,404000
Djerba,Populaire,"Populaire, Djerba",Riad,129.8260584850735,4,2,1,5,True,1976,50,False,False,True,False,584000
Djerba,Périphérie,"Périphérie, Djerba",Penthouse,210.04702164554078,3,1,1,2,False,1961,65,True,False,True,False,704000
Hammamet,Agricole,"Agricole, Hammamet",Maison,218.1411317022729,2,1,1,2,False,1997,29,True,True,True,False,677000
Sousse,Côtière,"Côtière, Sousse",Penthouse,141.27287808924825,2,1,1,0,False,1979,47,True,True,True,False,612000
Sousse,Résidentiel,"Résidentiel, Sousse",Appartement,108.9517913085168,3,2,1,0,False,1992,34,False,False,False,False,301000
Sousse,Agricole,"Agricole, Sousse",Dar (Maison Traditionnelle),115.6930777258318,3,1,1,1,False,2005,21,True,True,True,False,302000
Mahdia,Résidentiel,"Résidentiel, Mahdia",Penthouse,91.44105051086015,4,3,2,0,False,1965,61,False,False,False,False,314000
Bizerte,Périphérie,"Périphérie, Bizerte",Appartement,137.89628643458843,4,3,1,2,False,1966,60,True,False,False,False,223000
Monastir,Populaire,"Populaire, Monastir",Villa,125.72666831077319,4,2,1,0,False,1962,64,False,True,True,False,377000
Gammarth,Agricole,"Agricole, Gammarth",Villa,59.27405221753651,4,3,1,5,False,1978,48,False,False,True,False,532000
Sousse,Centre Ville,"Centre Ville, Sousse",Riad,68.4211876564921,2,1,1,3,False,2010,16,True,False,True,False,644000
Tunis,Agricole,"Agricole, Tunis",Riad,141.8161834837016,3,2,1,0,False,2013,13,False,True,False,False,429000
Nabeul,Côtière,"Côtière, Nabeul",Penthouse,103.16886363394195,4,2,1,3,True,1983,43,False,True,False,False,469000
Sfax,Agricole,"Agricole, Sfax",Maison,157.87278746585204,3,2,1,1,False,1995,31,False,True,True,False,383000
Bizerte,Résidentiel,"Résidentiel, Bizerte",Maison,114.73040372813368,6,4,2,5,False,2017,9,False,True,False,False,287000
Kairouan,Luxueux,"Luxueux, Kairouan",Studio,42.561008874389415,5,3,2,3,True,2001,25,False,False,True,False,155000
Monastir,Côtière,"Côtière, Monastir",Dar (Maison Traditionnelle),131.53204551321824,1,1,1,5,True,2000,26,True,True,True,False,586000
Sidi Bou Said,Côtière,"Côtière, Sidi Bou Said",Dar (Maison Traditionnelle),77.62382534550949,5,4,2,2,False,1976,50,False,False,True,False,669000
Sidi Bou Said,Périphérie,"Périphérie, Sidi Bou Said",Dar (Maison Traditionnelle),76.30248272542872,1,1,1,4,False,1995,31,False,True,False,False,333000
Gabes,Résidentiel,"Résidentiel, Gabes",Riad,81.99253638710394,3,2,1,4,True,1960,66,True,False,False,False,187000
Gabes,Côtière,"Côtière, Gabes",Villa,152.44621052534978,1,1,1,0,False,1987,39,True,False,True,False,305000
Tunis,Luxueux,"Luxueux, Tunis",Appartement,180.28457300407152,5,4,2,3,False,1965,61,True,False,True,False,896000
Monastir,Périphérie,"Périphérie, Monastir",Riad,94.17755291390921,3,1,1,4,False,2018,8,False,True,False,False,408000
Bizerte,Agricole,"Agricole, Bizerte",Studio,75.2718383793108,2,1,1,4,False,2009,17,True,False,True,False,95000
Nabeul,Agricole,"Agricole, Nabeul",Villa,113.32100793473921,5,2,2,5,True,2003,23,False,True,True,False,370000
Mahdia,Agricole,"Agricole, Mahdia",Penthouse,68.00470364372346,4,2,1,5,True,1964,62,False,False,False,True,234000
Tunis,Côtière,"Côtière, Tunis",Duplex,160.25963373904742,1,1,1,1,False,1989,37,False,False,True,False,745000
Monastir,Résidentiel,"Résidentiel, Monastir",Appartement,94.15515685551082,4,3,1,0,False,1992,34,True,True,True,False,365000
Sidi Bou Said,Luxueux,"Luxueux, Sidi Bou Said",Dar (Maison Traditionnelle),151.93651110145925,1,1,1,3,False,2021,5,True,False,True,False,1129000
Tunis,Côtière,"Côtière, Tunis",Duplex,64.41873361306367,4,2,1,5,False,1963,63,False,True,False,False,400000
Kairouan,Côtière,"Côtière, Kairouan",Dar (Maison Traditionnelle),165.0737314973893,3,1,1,5,True,1960,66,False,False,True,False,356000
Gammarth,Périphérie,"Périphérie, Gammarth",Appartement,120.77895237907337,1,1,1,4,False,2019,7,False,False,True,True,558000
Sidi Bou Said,Résidentiel,"Résidentiel, Sidi Bou Said",Studio,42.36364660919811,3,1,1,2,False,1970,56,False,False,True,False,246000
Sfax,Populaire,"Populaire, Sfax",Dar (Maison Traditionnelle),67.54965387147568,3,2,1,5,True,2025,1,False,False,True,True,306000
Tozeur,Touristique,"Touristique, Tozeur",Duplex,38.46633162923679,3,1,1,1,False,2005,21,False,True,False,False,187000
Bizerte,Résidentiel,"Résidentiel, Bizerte",Penthouse,211.03901883576782,3,2,1,3,True,2010,16,False,True,True,False,628000
Gammarth,Luxueux,"Luxueux, Gammarth",Dar (Maison Traditionnelle),110.55516561077624,4,2,1,5,True,2011,15,True,True,False,False,1233000
Gabes,Luxueux,"Luxueux, Gabes",Riad,89.1276693770451,1,1,1,4,True,2008,18,True,True,False,False,367000
Sfax,Agricole,"Agricole, Sfax",Dar (Maison Traditionnelle),70.87563032308452,3,2,1,4,False,1998,28,True,False,True,False,195000
Sfax,Périphérie,"Périphérie, Sfax",Riad,75.22452989274511,2,1,1,5,True,1966,60,False,True,True,False,349000
Tunis,Résidentiel,"Résidentiel, Tunis",Penthouse,91.05183724029146,3,2,1,5,False,1981,45,True,False,True,False,706000
Sfax,Agricole,"Agricole, Sfax",Penthouse,140.65282668930914,4,3,1,0,False,2001,25,True,False,False,False,278000
Nabeul,Résidentiel,"Résidentiel, Nabeul",Penthouse,157.35826121297907,2,1,1,1,False,2019,7,True,False,True,False,549000
Sousse,Côtière,"Côtière, Sousse",Villa,154.05031193707785,3,1,1,4,True,1992,34,False,False,True,False,764000
Gammarth,Centre Ville,"Centre Ville, Gammarth",Duplex,181.22922188130715,5,3,1,5,True,2016,10,True,False,True,False,1516000
Tozeur,Côtière,"Côtière, Tozeur",Studio,85.45597938568952,6,5,2,0,False,2000,26,True,False,False,False,122000
Tunis,Périphérie,"Périphérie, Tunis",Maison,139.49802930149508,5,4,2,4,True,1995,31,False,False,True,False,500000
Gammarth,Touristique,"Touristique, Gammarth",Villa,84.43506876197311,2,1,1,3,False,1964,62,False,False,False,False,694000
Gabes,Résidentiel,"Résidentiel, Gabes",Riad,131.68929558953738,1,1,1,4,False,2003,23,False,False,True,False,258000
Mahdia,Périphérie,"Périphérie, Mahdia",Studio,110.54592654190634,3,1,1,3,True,1981,45,False,False,True,False,142000
Gabes,Centre Ville,"Centre Ville, Gabes",Penthouse,185.56051151961998,4,2,1,0,False,1989,37,False,True,False,False,266000
Mahdia,Agricole,"Agricole, Mahdia",Penthouse,95.03513802140014,2,1,1,1,False,1981,45,False,False,True,False,194000
Kairouan,Résidentiel,"Résidentiel, Kairouan",Duplex,141.2589421137351,4,3,2,3,True,1973,53,True,True,False,False,308000
Gammarth,Côtière,"Côtière, Gammarth",Penthouse,75.51269491067157,2,1,1,3,False,2026,0,False,False,True,False,891000
Hammamet,Périphérie,"Périphérie, Hammamet",Duplex,129.66653334763666,3,2,1,4,False,2019,7,True,True,False,False,609000
Sfax,Périphérie,"Périphérie, Sfax",Studio,20.0,4,1,1,5,True,1989,37,True,False,False,True,146000
La Marsa,Côtière,"Côtière, La Marsa",Duplex,148.42205031280773,4,2,1,2,False,1980,46,False,True,False,False,840000
Sfax,Résidentiel,"Résidentiel, Sfax",Penthouse,75.07660091044814,3,1,1,4,True,1984,42,True,False,True,False,429000
